category,n_coins,avg_roi_1y,std_roi_1y,avg_vol,avg_drawdown,avg_recovery
AI & Tech,6,0.6404389212118172,0.8281205306240965,0.08799442983790921,-0.9590933563931952,809.3333333333334
Blue Chip L1s,5,0.7460680816139919,0.5179322291015122,0.1402124117953203,-0.9132431566965398,523.0
DeFi Protocols,6,-0.21877079199433083,0.22630765402840314,0.06915362583330938,-0.9077308548582459,
Emerging L1s,6,0.0481543370331568,0.29306885246665293,0.06228236102992801,-0.9159066488365858,1727.0
Infrastructure,6,0.3353578678908128,0.39169319092632443,0.056276612124375326,-0.7570668793034084,517.0
Layer 2s,7,-0.09380943978866374,0.6220379734753263,0.05944788244894817,-0.8706151236779827,426.0
Meme & Community,8,3.267192754985805,4.413665602173465,0.34397871310784045,-0.9336936096811423,184.5
Metaverse & Gaming,6,-0.23003180136510745,0.18640624759160315,0.08035357241087168,-0.9802637070703019,
Next-Gen L1s,5,1.0611893492543258,1.7312366989467305,0.06833670095938352,-0.8587370264068447,68.0
Payments & RWA,5,0.0874533973551114,0.0515018503538061,0.038691494986256736,-0.4721824775635978,880.0
Stablecoins,5,-0.00031431075352315,0.00025155026518998034,0.00576087224366712,-0.16312008987725196,631.0
