category,roi_1y_med_Mean,vol_daily_Mean,max_drawdown_Mean,recovery_days_Mean
AI & Tech,0.6404389212,0.0879944298,-0.959093356,809.33333333
Blue Chip L1s,0.7460680816,0.1402124118,-0.913243157,523
DeFi Protocols,-0.218770792,0.0691536258,-0.907730855,
Emerging L1s,0.048154337,0.062282361,-0.915906649,1727
Infrastructure,0.3353578679,0.0562766121,-0.757066879,517
Layer 2s,-0.09380944,0.0594478824,-0.870615124,426
Meme & Community,3.267192755,0.3439787131,-0.93369361,184.5
Metaverse & Gaming,-0.230031801,0.0803535724,-0.980263707,
Next-Gen L1s,1.0611893493,0.068336701,-0.858737026,68
Payments & RWA,0.0874533974,0.038691495,-0.472182478,880
Stablecoins,-0.000314311,0.0057608722,-0.16312009,631
