"category","n_coins","avg_roi_1y","std_roi_1y","avg_vol","avg_drawdown","avg_recovery"
"Meme & Community","8","3.26719275498580505","4.1286061257805993315861122606241899","0.34397871310784049125","-0.93369360968114228750","184.5000000000000000"
"Next-Gen L1s","5","1.06118934925432583400","1.5484651775948911169371901209569581","0.06833670095938356200","-0.85873702640684466000","68.0000000000000000"
"Blue Chip L1s","5","0.74606808161399185600","0.4632526688035903765459608759242061","0.14021241179532035400","-0.91324315669653970000","523.0000000000000000"
"AI & Tech","6","0.64043892121181717833","0.7559671582599422915468295342693947","0.08799442983790925500","-0.95909335639319521667","809.3333333333333333"
"Infrastructure","6","0.33535786789081281200","0.3503410404940260978314753728972216","0.05627661212437539242","-0.75706687930340836817","517.0000000000000000"
"Payments & RWA","5","0.08745339735511143898","0.04606465534325282449839408038954549854","0.03869149498625678334","-0.47218247756359781640","880.0000000000000000"
"Emerging L1s","6","0.04815433703315681000","0.2675340356635656210782115693451228","0.06228236102992806750","-0.91590664883658575000","1727.0000000000000000"
"Stablecoins","5","-0.00031431075352315874","0.0002178489199832424030034233608582338292","0.00576087224366717462","-0.16312008987725198480","631.0000000000000000"
"Layer 2s","7","-0.09380943978866374857","0.5758952586652422583848824051832522","0.05944788244894819514","-0.87061512367798261429","426.0000000000000000"
"DeFi Protocols","6","-0.21877079199433082833","0.2065896784123854588069304317323092","0.06915362583330941333","-0.90773085485824598333",NULL
"Metaverse & Gaming","6","-0.23003180136510749567","0.170164844443023467191276042336435566","0.08035357241087174167","-0.98026370707030193333",NULL
