narrative,median_roi_1y_pct,portfolio_median_roi_1y_pct,above_breakeven
AI & Tech,0.7251152584195679,0.0978610749833074,1
Blue Chip L1s,0.6077903091049717,0.0978610749833074,1
DeFi Protocols,-0.2446986612498266,0.0978610749833074,0
Emerging L1s,0.08625325175649835,0.0978610749833074,1
Infrastructure,0.2727286396105572,0.0978610749833074,1
Layer 2s,-0.1532937776207232,0.0978610749833074,0
Meme & Community,0.931363341968912,0.0978610749833074,1
Metaverse & Gaming,-0.16000834632107303,0.0978610749833074,0
Next-Gen L1s,0.4253819807570922,0.0978610749833074,1
Payments & RWA,0.0978610749833074,0.0978610749833074,1
Stablecoins,-0.000359541193117,0.0978610749833074,0
