narrative,max_drawdown_pct,recovery_days,n_coins
AI & Tech,-0.9763422849075314,620.0,6
Blue Chip L1s,-0.9421439618111142,721.0,5
DeFi Protocols,-0.9188186662388886,,6
Emerging L1s,-0.9382123637780244,1727.0,6
Infrastructure,-0.8948218873275549,517.0,6
Layer 2s,-0.8964431029770634,426.0,7
Meme & Community,-0.9445728176554136,55.5,8
Metaverse & Gaming,-0.9847205579670903,,6
Next-Gen L1s,-0.9282306811222732,68.0,5
Payments & RWA,-0.228418225719258,526.0,5
Stablecoins,-0.0864626767537473,631.0,5
