narrative,roi_1y_med_pct,roi_3y_med_pct,roi_5y_med_pct
AI & Tech,0.7251152584195679,2.072853030863113,20.5404722933537
Blue Chip L1s,0.6077903091049717,3.5425271131903373,14.669461550386352
DeFi Protocols,-0.2446986612498266,-0.3309180366963948,-0.7940887486283715
Emerging L1s,0.08625325175649835,0.003921003369073,2.4754067714000847
Infrastructure,0.2727286396105572,1.6013368865492237,15.549552952858962
Layer 2s,-0.1532937776207232,0.9751899863381592,15.001432605252761
Meme & Community,0.931363341968912,2.3671129766647696,7167.414703984903
Metaverse & Gaming,-0.16000834632107303,-0.4300803067772579,4.397283094728899
Next-Gen L1s,0.4253819807570922,0.2483359751617766,1.9086786849144741
Payments & RWA,0.0978610749833074,0.6212979830663892,3.534478816110074
Stablecoins,-0.000359541193117,-0.0007797573064527001,-0.00107720911674
